name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_4_0.5.gml;4;3;0.5;greedy_v2;0.125;0;True;-1;8.09000339359045e-05;-1;-1
graph_4_0.5.gml;4;3;0.5;greedy_v2;0.25;1;True;(11, 68);0.00012049998622387648;-1;-1
graph_4_0.5.gml;4;3;0.5;greedy_v2;0.5;2;True;(11, 68):(99, 95);7.730000652372837e-05;-1;-1
graph_4_0.5.gml;4;3;0.5;greedy_v2;0.75;3;False;-1;6.910000229254365e-05;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v2;0.125;0;True;-1;2.3300002794712782e-05;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v2;0.25;1;True;(99, 95);6.229995051398873e-05;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v2;0.5;2;True;(99, 95):(30, 2);6.130000110715628e-05;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v2;0.75;3;True;(11, 68):(99, 95):(30, 2);6.910000229254365e-05;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v2;0.125;0;True;-1;2.789997961372137e-05;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v2;0.25;1;True;(30, 2);5.059997783973813e-05;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v2;0.5;2;True;(11, 68):(30, 2);5.809997674077749e-05;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v2;0.75;3;False;-1;5.849997978657484e-05;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v2;0.125;0;True;-1;1.8900027498602867e-05;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v2;0.25;1;True;(11, 68);4.8200017772614956e-05;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v2;0.5;2;True;(11, 68):(100, 6);4.789995728060603e-05;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v2;0.75;3;True;(11, 68):(99, 95):(100, 6);5.3099996875971556e-05;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v2;0.125;0;True;-1;2.929999027401209e-05;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v2;0.25;1;True;(100, 6);5.809997674077749e-05;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v2;0.5;2;True;(11, 68):(100, 6);6.439996650442481e-05;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v2;0.75;3;False;-1;8.919998072087765e-05;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v2;0.125;0;True;-1;3.3400021493434906e-05;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v2;0.25;1;True;(99, 95);7.430004188790917e-05;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v2;0.5;2;True;(99, 95):(30, 2);8.249998791143298e-05;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v2;0.75;3;True;(11, 68):(99, 95):(30, 2);9.079999290406704e-05;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v2;0.125;0;True;-1;3.759999526664615e-05;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v2;0.25;1;True;(100, 6);7.339997682720423e-05;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v2;0.5;2;True;(99, 95):(100, 6);7.160002132877707e-05;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v2;0.75;3;False;-1;7.179996464401484e-05;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v2;0.125;0;True;-1;2.300000051036477e-05;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v2;0.25;1;True;(11, 68);5.240004975348711e-05;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v2;0.5;2;True;(11, 68):(99, 95);6.579997716471553e-05;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v2;0.75;3;True;(11, 68):(99, 95):(30, 2);7.639999967068434e-05;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v2;0.125;0;True;-1;3.360002301633358e-05;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v2;0.25;1;True;(63, 50);5.749997217208147e-05;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v2;0.5;3;True;(63, 50):(99, 95):(100, 6);8.329999400302768e-05;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v2;0.75;4;True;(63, 50):(99, 95):(51, 100):(100, 6);9.640003554522991e-05;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v2;0.125;0;True;-1;2.7999980375170708e-05;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v2;0.25;1;True;(63, 50);5.150004290044308e-05;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v2;0.5;3;True;(63, 50):(99, 95):(51, 100);9.6399977337569e-05;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v2;0.75;4;True;(63, 50):(99, 95):(51, 100):(100, 6);9.429996134713292e-05;-1;-1
