name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.125;0;True;-1;3.950000973418355e-05;-1;-1
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.25;1;True;(11, 68);0.00020920002134516835;-1;-1
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.5;2;True;(11, 68):(99, 95);0.0004235999658703804;-1;-1
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.75;3;False;-1;0.0004236000240780413;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.125;0;True;-1;2.4300010409206152e-05;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.25;1;True;(99, 95);0.00014709995593875647;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.5;2;True;(99, 95):(30, 2);0.0004154000198468566;-1;-1
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.75;3;True;(11, 68):(99, 95):(30, 2);0.0004457999602891505;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.125;0;True;-1;3.8700003642588854e-05;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.25;1;True;(30, 2);0.0001970999874174595;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.5;2;True;(11, 68):(30, 2);0.00033090001670643687;-1;-1
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.75;3;False;-1;0.00029639998683705926;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.125;0;True;-1;2.0099978428333998e-05;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.25;1;True;(11, 68);0.0001914000022225082;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.5;2;True;(11, 68):(100, 6);0.0004262999864295125;-1;-1
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.75;3;True;(11, 68):(99, 95):(100, 6);0.0002367999986745417;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.125;0;True;-1;3.060000017285347e-05;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.25;1;True;(100, 6);8.19999841041863e-05;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.5;2;True;(11, 68):(100, 6);0.00013230001786723733;-1;-1
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.75;3;False;-1;0.00013130001025274396;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.125;0;True;-1;2.5200017262250185e-05;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.25;1;True;(99, 95);0.00010409997776150703;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.5;2;True;(99, 95):(30, 2);0.00011640001321211457;-1;-1
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.75;3;True;(11, 68):(99, 95):(30, 2);0.00019989995053038;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.125;0;True;-1;4.010001430287957e-05;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.25;1;True;(100, 6);0.0001466000103391707;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.5;2;True;(99, 95):(100, 6);0.00020640000002458692;-1;-1
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.75;3;False;-1;0.00014830002328380942;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.125;0;True;-1;2.759997732937336e-05;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.25;1;True;(11, 68);7.420004112645984e-05;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.5;2;True;(11, 68):(99, 95);0.00012060004519298673;-1;-1
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.75;3;True;(11, 68):(99, 95):(30, 2);0.00016240001423284411;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.125;0;True;-1;3.470003139227629e-05;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.25;1;True;(63, 50);8.669996168464422e-05;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.5;3;True;(63, 50):(99, 95):(100, 6);0.0001753999968059361;-1;-1
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.75;4;True;(63, 50):(99, 95):(51, 100):(100, 6);0.0002416000352241099;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.125;0;True;-1;3.23000131174922e-05;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.25;1;True;(63, 50);0.00013120000949129462;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.5;3;True;(63, 50):(99, 95):(100, 6);0.00020899996161460876;-1;-1
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.75;4;True;(63, 50):(99, 95):(51, 100):(100, 6);0.00023790000705048442;-1;-1
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.125;0;True;-1;4.730001091957092e-05;-1;-1
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.25;1;True;(100, 6);9.300000965595245e-05;-1;-1
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.5;3;True;(99, 95):(51, 100):(100, 6);0.00017559999832883477;-1;-1
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.75;4;False;-1;0.00017519999528303742;-1;-1
graph_6_0.125.gml;6;1;0.125;greedy_v1;0.125;0;True;-1;2.7499976567924023e-05;-1;-1
