Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
graph_130680992049,250,4.08995983935743,1273,0.125,31,100,10,0.20027320004010107,0.020027320004010106,0,0.0,False,,,,100.0,
graph_130680992049,250,4.08995983935743,1273,0.125,31,500,10,0.4810355000081472,0.04810355000081472,0,0.0,False,,,,500.0,
graph_130680992049,250,4.08995983935743,1273,0.125,31,1000,10,0.8426289000199176,0.08426289000199176,0,0.0,False,,,,1000.0,
graph_130680992049,250,4.08995983935743,1273,0.125,31,2500,10,1.934078500024043,0.1934078500024043,0,0.0,False,,,,2500.0,
graph_130680992049,250,4.08995983935743,1273,0.125,31,5000,10,3.8330860000132816,0.38330860000132816,0,0.0,False,,,,5000.0,
graph_130680992049,250,4.08995983935743,1273,0.125,31,7500,10,5.714189900027122,0.5714189900027122,0,0.0,False,,,,7500.0,
graph_130680992049,250,4.08995983935743,1273,0.125,31,10000,10,7.5898030000244034,0.7589803000024403,0,0.0,False,,,,10000.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,50,10,0.1877468999591656,0.01877468999591656,0,0.0,False,,,,50.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,100,10,0.2268393999838736,0.02268393999838736,0,0.0,False,,,,100.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,500,10,0.5582773999485653,0.05582773999485653,0,0.0,False,,,,500.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,1000,10,0.9622835999616655,0.09622835999616655,0,0.0,False,,,,1000.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,2500,10,2.1674655999668175,0.21674655999668174,0,0.0,False,,,,2500.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,5000,10,4.205463899997994,0.42054638999979943,0,0.0,False,,,,5000.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,7500,10,6.259656699970947,0.6259656699970947,0,0.0,False,,,,7500.0,
graph_130680992049,250,4.08995983935743,1273,0.25,62,10000,10,8.352921199941193,0.8352921199941192,0,0.0,False,,,,10000.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,50,10,0.35518849999061786,0.03551884999906178,0,0.0,False,,,,50.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,100,10,0.402354900012142,0.0402354900012142,0,0.0,False,,,,100.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,500,10,0.7785951000114437,0.07785951000114437,0,0.0,False,,,,500.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,1000,10,1.321677500003716,0.1321677500003716,0,0.0,False,,,,1000.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,2500,10,2.757713099999819,0.2757713099999819,0,0.0,False,,,,2500.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,5000,10,5.280555499979528,0.5280555499979528,0,0.0,False,,,,5000.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,7500,10,7.736461600012262,0.7736461600012262,0,0.0,False,,,,7500.0,
graph_130680992049,250,4.08995983935743,1273,0.5,125,10000,10,10.251796700016712,1.025179670001671,0,0.0,False,,,,10000.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,50,10,0.4278937999770278,0.042789379997702784,0,0.0,False,,,,50.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,100,10,0.48446829998283647,0.04844682999828365,0,0.0,False,,,,100.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,500,10,0.8893009999883361,0.08893009999883361,0,0.0,False,,,,500.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,1000,10,1.3999764999753097,0.13999764999753098,0,0.0,False,,,,1000.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,2500,10,2.9143704999878537,0.2914370499987854,0,0.0,False,,,,2500.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,5000,10,5.54168490000302,0.554168490000302,0,0.0,False,,,,5000.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,7500,10,8.164681299997028,0.8164681299997028,0,0.0,False,,,,7500.0,
graph_130680992049,250,4.08995983935743,1273,0.75,187,10000,10,10.871395699985442,1.0871395699985442,0,0.0,False,,,,10000.0,
