Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
graph_151209238317,55,24.983164983164983,371,0.125,6,1000,10,0.05765629999223165,0.0057656299992231656,10,1.0,True,10.0,206.0,81.3,81.3,"[15, 0, 40, 35, 9, 50]"
graph_151209238317,55,24.983164983164983,371,0.125,6,2500,10,0.05766169998969417,0.005766169998969417,10,1.0,True,10.0,206.0,81.3,81.3,"[15, 0, 40, 35, 9, 50]"
graph_151209238317,55,24.983164983164983,371,0.125,6,5000,10,0.05766809999477118,0.005766809999477119,10,1.0,True,10.0,206.0,81.3,81.3,"[15, 0, 40, 35, 9, 50]"
graph_151209238317,55,24.983164983164983,371,0.125,6,7500,10,0.05767510000441689,0.005767510000441689,10,1.0,True,10.0,206.0,81.3,81.3,"[15, 0, 40, 35, 9, 50]"
graph_151209238317,55,24.983164983164983,371,0.125,6,10000,10,0.057679799996549264,0.005767979999654926,10,1.0,True,10.0,206.0,81.3,81.3,"[15, 0, 40, 35, 9, 50]"
graph_151209238317,55,24.983164983164983,371,0.25,13,50,10,0.07649860002857167,0.007649860002857167,0,0.0,False,,,,50.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,100,10,0.11218149999331217,0.011218149999331217,0,0.0,False,,,,100.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,500,10,0.3786779999791179,0.03786779999791179,0,0.0,False,,,,500.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,1000,10,0.7244757000007667,0.07244757000007666,0,0.0,False,,,,1000.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,2500,10,1.8087998999690171,0.18087998999690172,0,0.0,False,,,,2500.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,5000,10,3.573840899975039,0.35738408999750393,0,0.0,False,,,,5000.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,7500,10,5.415236899978481,0.5415236899978482,0,0.0,False,,,,7500.0,
graph_151209238317,55,24.983164983164983,371,0.25,13,10000,10,7.275339699990582,0.7275339699990582,0,0.0,False,,,,10000.0,
graph_151209238317,55,24.983164983164983,371,0.5,27,50,10,0.12362620000203606,0.012362620000203606,0,0.0,False,,,,50.0,
