Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Iterations Percentage,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
Grafo1.txt,50,24.979591836734695,306,0.125,6,50,3.146494490488147e-06,10,0.002334099994186545,0.00023340999941865448,4,0.4,True,20.0,37.0,26.0,40.4,"[37, 28, 48, 32, 12, 49]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,100,6.292988980976294e-06,10,0.003507799996441463,0.0003507799996441463,6,0.6,True,20.0,68.0,37.333333333333336,62.4,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,500,3.1464944904881474e-05,10,0.005562099999224301,0.0005562099999224301,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,1000,6.292988980976295e-05,10,0.00556529999448685,0.000556529999448685,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,2500,0.00015732472452440735,10,0.00556779999169521,0.0005567799991695211,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,5000,0.0003146494490488147,10,0.005570299999817507,0.0005570299999817507,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,7500,0.0004719741735732221,10,0.005572799997025868,0.0005572799997025868,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,10000,0.0006292988980976294,10,0.005575199997110758,0.0005575199997110758,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,12500,0.0007866236226220368,10,0.005578500004048692,0.0005578500004048692,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
Grafo1.txt,50,24.979591836734695,306,0.125,6,15000,0.0009439483471464442,10,0.005580899993219646,0.0005580899993219646,10,1.0,True,20.0,303.0,101.8,101.8,"[40, 37, 47, 36, 31, 8]"
