Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Iterations Percentage,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
Grafo1.txt,50,15.26530612244898,187,0.125,6,50,3.146494490488147e-06,10,0.0006063999971956946,6.063999971956946e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,100,6.292988980976294e-06,10,0.0006099999918660615,6.0999999186606145e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,500,3.1464944904881474e-05,10,0.0006124999999883585,6.124999999883585e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,1000,6.292988980976295e-05,10,0.0006152999922051094,6.152999922051094e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,2500,0.00015732472452440735,10,0.0006179000010888558,6.179000010888557e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,5000,0.0003146494490488147,10,0.0006235999971977435,6.235999971977435e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,7500,0.0004719741735732221,10,0.000626299992291024,6.26299992291024e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,10000,0.0006292988980976294,10,0.0006286999960138928,6.286999960138928e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,12500,0.0007866236226220368,10,0.000630899998213863,6.30899998213863e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,15000,0.0009439483471464442,10,0.0006329999996523838,6.329999996523838e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,17500,0.0011012730716708516,10,0.000635200001852354,6.35200001852354e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.125,6,20000,0.0012585977961952588,10,0.000637799999822164,6.377999998221639e-05,10,1.0,True,1.0,35.0,8.9,8.9,"[35, 37, 25, 48, 19, 31]"
Grafo1.txt,50,15.26530612244898,187,0.25,12,50,4.118627981789974e-10,10,0.013550599996960955,0.0013550599996960955,0,0.0,False,,,,50.0,
