Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
graph_151660359885,50,15.26530612244898,187,0.125,6,50,10,0.008393800017074682,0.0008393800017074682,9,0.9,True,1.0,28.0,10.11111111111111,14.1,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,100,10,0.00949249998666346,0.0009492499986663461,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,500,10,0.009496000013314188,0.0009496000013314188,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,1000,10,0.009498700019321404,0.0009498700019321404,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,2500,10,0.009501200038357638,0.0009501200038357638,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,5000,10,0.00950380002905149,0.000950380002905149,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,7500,10,0.009506000016699545,0.0009506000016699546,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.125,6,10000,10,0.009509300012723543,0.0009509300012723543,10,1.0,True,1.0,69.0,16.0,16.0,"[31, 1, 40, 3, 41, 2]"
graph_151660359885,50,15.26530612244898,187,0.25,12,50,10,0.05983389999892097,0.005983389999892097,0,0.0,False,,,,50.0,
graph_151660359885,50,15.26530612244898,187,0.25,12,100,10,0.09540819999529049,0.009540819999529049,0,0.0,False,,,,100.0,
graph_151660359885,50,15.26530612244898,187,0.25,12,500,10,0.35161409998545423,0.035161409998545425,0,0.0,False,,,,500.0,
graph_151660359885,50,15.26530612244898,187,0.25,12,1000,10,0.6316802999936044,0.06316802999936044,2,0.2,True,569.0,828.0,698.5,939.7,"[40, 8, 42, 27, 48, 31, 24, 37, 39, 38, 22, 35]"
graph_151660359885,50,15.26530612244898,187,0.25,12,2500,10,1.225452500002575,0.12254525000025751,5,0.5,True,569.0,1920.0,1202.4,1851.2,"[40, 8, 42, 27, 48, 31, 24, 37, 39, 38, 22, 35]"
graph_151660359885,50,15.26530612244898,187,0.25,12,5000,10,1.8969651999941561,0.1896965199994156,6,0.6,True,569.0,2877.0,1481.5,2888.9,"[22, 38, 27, 47, 24, 39, 9, 31, 40, 0, 45, 33]"
graph_151660359885,50,15.26530612244898,187,0.25,12,7500,10,2.5495536999806063,0.2549553699980606,7,0.7,True,569.0,6108.0,2142.4285714285716,3749.7,"[22, 38, 27, 47, 24, 39, 9, 31, 40, 0, 45, 33]"
graph_151660359885,50,15.26530612244898,187,0.25,12,10000,10,3.005928699989454,0.3005928699989454,8,0.8,True,569.0,9599.0,3074.5,4459.6,"[22, 38, 27, 47, 24, 39, 9, 31, 40, 0, 45, 33]"
graph_151660359885,50,15.26530612244898,187,0.5,25,50,10,0.10755170004267711,0.01075517000426771,0,0.0,False,,,,50.0,
graph_151660359885,50,15.26530612244898,187,0.5,25,100,10,0.14039170001342427,0.014039170001342426,0,0.0,False,,,,100.0,
graph_151660359885,50,15.26530612244898,187,0.5,25,500,10,0.4076889000280062,0.040768890002800616,0,0.0,False,,,,500.0,
graph_151660359885,50,15.26530612244898,187,0.5,25,1000,10,0.8535868000180926,0.08535868000180927,0,0.0,False,,,,1000.0,
graph_151660359885,50,15.26530612244898,187,0.5,25,2500,10,1.8982831000175793,0.18982831000175793,0,0.0,False,,,,2500.0,
